Section,Index,Question,Answer
c_1,10,"特定の集団や属性に対して、多くの人が持っている固定的なイメージを何というか？","ステレオタイプ"
c_1,13,"日本の伝統的な文化財のうち、演劇や音楽などの形のないものを何というか？","無形文化財"
c_1,14,"異なる文化を持つ人々が、互いの文化を尊重し合い、対等な関係を築くことを何というか？","異文化理解"
c_1,15,"テレビや新聞など、大量の情報を不特定多数の人々に伝達する手段を何というか？","マスメディア"
c_1,17,"人間の知的創作活動によって生み出されたものを、創作者が独占的に利用できる権利は？","知的財産権"
c_1,19,"新しい技術や発明をした人に与えられる、一定期間その発明を独占できる権利は？","特許権"
c_1,21,"七五三や成人式のように、人生の区切りに行われる儀式を何というか？","通過儀礼"
c_1,24,"地域住民が親睦を深め、住みよい地域を作るために自主的に組織する団体は？","町内会・自治会"
c_1,25,"異なる文化が接触したときに生じる、誤解や対立を何というか？","文化摩擦"
c_1,26,"食料自給率の低下や、輸入食品の安全性などが問題となっている、食に関する課題を何というか？","食の安全・安心"
c_2,1,"日本国憲法において、主権は誰にあるとされているか？","国民"
c_2,4,"日本国憲法第25条で、「健康で文化的な最低限度の生活を営む権利」と規定されている権利は？","生存権"
c_2,5,"自由に考え、意見を発表したり、集会を開いたりする自由を何というか？","表現の自由"
c_2,6,"不当に逮捕されたり、拘束されたりしない自由を何というか？","身体の自由"
c_2,10,"1957年、生活保護の基準が低すぎるとして、生存権の侵害を訴えた裁判は？","朝日訴訟"
c_2,11,"プライバシーの権利が侵害されたとして争われた、三島由紀夫の小説をめぐる事件は？","「宴のあと」事件"
c_2,12,"マスメディアに対して、自分の意見を発表する場（反論記事など）の提供を求める権利は？","アクセス権"
c_2,13,"医療現場などで、患者が医師から十分な説明を受け、納得した上で治療に同意することを何というか？","インフォームド・コンセント"
c_2,14,"1948年、国連で採択された、世界中のすべての人々が達成すべき人権の基準は？","世界人権宣言"
c_2,16,"18歳未満のすべての人の権利（生きる権利、守られる権利など）を定める条約は？","子どもの権利条約"
c_2,19,"1789年のフランス革命で出された、自由・平等・博愛を掲げた宣言は？","フランス人権宣言"
c_2,23,"どのような職業に就くかを自由に決めることができる権利は？","職業選択の自由"
c_2,24,"どのような犯罪に対してどのような刑罰が科されるかを、あらかじめ法律で定めておかなければならないという原則は？","罪刑法定主義"
c_2,26,"自分にとって不利益な供述を強要されない権利を何というか？","黙秘権"
c_2,27,"一度判決が確定した事件については、再び裁判で責任を問われないという原則は？","一事不再理"
c_2,29,"国や地方公共団体が持っている情報を、住民の請求に応じて開示することを定めた制度は？","情報公開制度"
c_2,31,"障害のある人もない人も、互いに支え合い、共に生きる社会を目指す法律は？","障害者基本法"
c_3,7,"衆議院議員選挙で行われている、小選挙区制と比例代表制を組み合わせた制度は？","小選挙区比例代表並立制"
c_3,10,"小選挙区制の短所として指摘される、落選した候補者に投じられた票が議席に結びつかないことを何というか？","死票（しひょう）"
c_3,15,"公正取引委員会や人事院のように、内閣からある程度独立して職務を行う機関を何というか？","行政委員会"
c_3,16,"憲法第15条で、「全体の奉仕者」であって「一部の奉仕者」ではないと定められているのは？","公務員"
c_3,17,"裁判は原則として、一般に公開して行わなければならないという原則を何というか？","裁判の公開"
c_3,19,"法的なトラブル解決のために、情報の提供や費用の立替などを行う「日本司法支援センター」の愛称は？","法テラス"
c_3,22,"平成の時代に、財政基盤の強化などを目的として、多くの市町村が合併したことを何というか？","平成の大合併"
c_3,23,"衆議院と参議院の議決が異なった場合、衆議院の議決が国会の議決となることを何というか？","衆議院の優越"
c_3,29,"地方議会の解散や、首長・議員の解職を請求することを何というか？","リコール（解職請求）"
c_3,31,"国会の委員会において、少数の専門的な議員によって詳細な審査を行うために設置されるものは？","常任委員会"
c_3,33,"特定の事柄について、住民の意思を直接問うために行われる投票は？","住民投票"
c_3,34,"選挙区のあちこちにポスターを貼ったり、街頭演説をしたりする選挙運動ができる期間は？","公示（告示）日から投票日の前日まで"
c_3,35,"国会の委員会において、少数の専門的な議員によって詳細な審査を行うために設置されるものは？","常任委員会"
c_3,36,"地方公共団体の首長が、議会の議決に対して異議がある場合にやり直しを求める権限は？","再議権（拒否権）"
c_3,37,"特定の事柄について、住民の意思を直接問うために行われる投票は？","住民投票"
c_3,38,"選挙区のあちこちにポスターを貼ったり、街頭演説をしたりする選挙運動ができる期間は？","公示（告示）日から投票日の前日まで"
c_3,39,"国会の委員会において、少数の専門的な議員によって詳細な審査を行うために設置されるものは？","常任委員会"
c_3,40,"地方公共団体の首長が、議会の議決に対して異議がある場合にやり直しを求める権限は？","再議権（拒否権）"
c_3,41,"特定の事柄について、住民の意思を直接問うために行われる投票は？","住民投票"
c_3,42,"選挙区のあちこちにポスターを貼ったり、街頭演説をしたりする選挙運動ができる期間は？","公示（告示）日から投票日の前日まで"
c_4,2,"少数の企業が市場を支配し、価格などが決まる状態を何というか？","寡占（かせん）"
c_4,15,"国や地方公共団体の歳出が、税金などの借金以外の収入で賄えているかを示す指標は？","プライマリー・バランス"
c_4,16,"40歳以上の国民が保険料を支払い、介護が必要になった時にサービスを受けられる制度は？","介護保険制度"
c_4,20,"複数の金融業者から借金を重ね、返済が困難になっている状態を何というか？","多重債務"
c_4,23,"パートやアルバイト、派遣社員など、正社員以外の雇用形態をまとめて何というか？","非正規雇用"
c_4,25,"1ドル＝100円だった相場が、1ドル＝80円になった場合、海外旅行に行く日本人にとっては得か損か？","得になる（少ない円でドルを買えるから）"
c_4,27,"税収全体に占める、直接税と間接税の割合のことを何というか？","直間比率"
c_4,28,"将来受け取る年金の財源を、その時代の現役世代が納める保険料で賄う方式を何というか？","賦課方式（ふかほうしき）"
c_4,29,"市場で、少数の企業が商品を生産・販売し、価格などが支配されている状態を何というか？","寡占（かせん）"
c_4,30,"寡占市場において、価格競争を避け、宣伝やデザイン、サービスなどで競争することを何というか？","非価格競争"
c_4,33,"労働争議が発生した際、労働委員会が当事者の間に入って解決を図る手続きのうち、最も関与が強いものは？","仲裁"
c_5,1,"国際連合の主要機関の一つで、世界の平和と安全の維持に責任を持つ機関は？","安全保障理事会"
c_5,2,"安全保障理事会の常任理事国は、アメリカ、イギリス、フランス、ロシアとどこか？","中国"
c_5,3,"地球環境問題の一つで、化石燃料の大量消費などにより地球の平均気温が上昇することは？","地球温暖化"
c_5,4,"将来の世代の欲求を満たしつつ、現在の世代の欲求も満たすような開発を何というか？","持続可能な開発"
c_5,7,"二酸化炭素の排出を抑えるため、再生可能エネルギーとして注目されているのは？","太陽光発電"
c_5,8,"先進国と発展途上国との間の経済格差の問題を何というか？","南北問題"
c_5,9,"地域紛争の解決などのために、国連が各国の軍隊などを派遣して行う活動は？","PKO（国連平和維持活動）"
c_5,10,"水鳥の生息地として重要な湿地を保護することを目的とした条約は？","ラムサール条約"
c_5,11,"絶滅のおそれのある野生動植物の国際取引を規制する条約は？","ワシントン条約"
c_5,12,"熊本県の水俣湾沿岸で発生し、工場排水に含まれる有機水銀が原因となった公害病は？","水俣病"
c_5,13,"富山県の神通川流域で発生し、鉱山から排出されたカドミウムが原因となった公害病は？","イタイイタイ病"
c_5,18,"冷蔵庫の冷媒などに使われていたフロンガスが原因で破壊され、有害な紫外線の増加を招いているものは？","オゾン層"
c_5,19,"工場や自動車から排出される硫黄酸化物や窒素酸化物が原因で、森林を枯らしたりする雨は？","酸性雨"
c_5,20,"過度な放牧や森林伐採などが原因で、土地が不毛化してしまう現象を何というか？","砂漠化"
c_5,21,"携帯電話やハイテク製品の製造に不可欠な、埋蔵量が少ない、または抽出が難しい金属を何というか？","レアメタル（希少金属）"
c_5,22,"地下の岩盤層に含まれる天然ガスで、新しいエネルギー資源として注目されているものは？","シェールガス"
c_5,23,"発電と同時に、その際に出る熱を給湯や暖房などに有効利用するシステムは？","コージェネレーションシステム"
c_5,24,"国家の安全だけでなく、一人一人の人間の生命や尊厳を守るという考え方を何というか？","人間の安全保障"
c_5,25,"対人地雷の使用、貯蔵、生産などを全面的に禁止する条約は？","対人地雷全面禁止条約（オタワ条約）"
c_5,26,"特定の国や地域との間で、関税撤廃だけでなく、投資や人の移動の自由化なども含めた幅広い経済連携協定は？","EPA（経済連携協定）"
c_5,27,"2000年代以降、急速な経済成長を遂げたブラジル、ロシア、インド、中国、南アフリカの総称は？","BRICS（ブリックス）"
c_5,28,"パレスチナ地方で対立が続いている、ユダヤ人とアラブ人の間の紛争を何というか？","パレスチナ問題"
c_5,30,"石油資源に依存せず、トウモロコシやサトウキビなどの植物から作られる燃料は？","バイオ燃料"
c_5,31,"国連の専門機関で、労働条件の改善や社会保障の充実を目指す機関は？","ILO（国際労働機関）"
c_5,33,"1985年に採択され、オゾン層の保護を定めた条約は？","ウィーン条約"
c_5,34,"特定の野生動植物の絶滅を防ぐため、国際的な取引を規制する条約は？","ワシントン条約"
cw_1,0,"人が生まれながらにもっている、人間らしく生きるためにおかしてはならない権利を何というか？","基本的人権"
cw_1,1,"1215年にイギリスで発布された、国王の権力を制限した文書はどれか？","マグナカルタ（大憲章）"
cw_1,3,"1689年に名誉革命ののち、イギリスで発布され、議会の同意なしに税金をかけないことなどを定めた法律は何か？","権利の章典"
cw_1,4,"『統治二論（市民政府二論）』を著し、権力が不当に行使されたときの「抵抗権」を主張したイギリスの思想家は誰か？","ロック"
cw_1,5,"『法の精神』を著し、国家の権力への集中を防ぐために「三権分立」を主張したフランスの思想家は誰か？","モンテスキュー"
cw_1,6,"『社会契約論』を著し、人民主権を唱えてフランス革命に大きな影響を与えたフランスの思想家は誰か？","ルソー"
cw_1,7,"人権を保障するために、憲法によって政治権力を制限するという考え方やしくみを何というか？","立憲主義"
cw_1,8,"1946年11月3日に公布され、翌年5月3日に施行された日本の「最高法規」は何か？","日本国憲法"
cw_1,9,"日本国憲法の三大原則のうち、「国民主権」「基本的人権の尊重」ともう一つは何か？","平和主義"
cw_1,10,"主に日本国籍を持たずに日本に住んでいる人に対し、地方選挙などでの投票を認めるべきだという考えに関わる権利を何というか。","外国人参政権"
cw_1,11,"人が互いに個人として自分と相手を大切にし、ともに助け合って生きていく社会を何というか。","共生社会"
cw_1,12,"障がい者や高齢者などが安全・快適に暮らせるように、生活する上で障害となるものを取り除こうという考え方を何というか。","バリアフリー"
cw_1,13,"年齢や障がいの有無にかかわらず、すべての人が使いやすいようにあらかじめつくられたデザインを何というか。","ユニバーサルデザイン"
cw_1,14,"障がいがある人もない人も、高齢者も子どもも、それぞれを分けるのではなく、ともに地域の中で暮らしていこうという考え方を何というか。","ノーマライゼーション"
cw_1,15,"職場などで起きる、相手の意思に反した性的な嫌がらせを何というか。","セクシュアル・ハラスメント（セクハラ）"
cw_1,16,"男性と女性が互いに人権を尊重し合い、責任を分け合って対等な立場で能力をいかすことができる社会を何というか。","男女共同参画社会"
cw_1,17,"すべての人が生きていく上で、自由にものを考え、意見を述べ、行動することを保障する権利を何というか。","自由権"
cw_1,18,"正当な理由なしに、人間の身体が他者から拘束されない権利のことを何というか。","身体の自由"
cw_1,19,"被疑者や被告人に認められている、取り調べや裁判で自分に不利益となることを話さなくてもよい権利を何というか。","黙秘権"
cw_1,20,"個人が自由にものを考え、思想や信仰をもち、自分の意見を述べる自由を指す、自由権の1つは何か。","精神の自由"
cw_1,21,"「精神の自由」のうち、個人がどのような宗教を信じるのも信じないのも自由とするものを何というか。","信教の自由"
cw_1,22,"「精神の自由」のうち、人々が目的を持って集まったり団体をつくったりする自由や、考えを外部に発表する自由をまとめて何というか。","集会・結社・表現の自由"
cw_1,23,"「精神の自由」のうち、学問を研究したり、研究の成果を発表したり、教えたりする自由を何というか。","学問の自由"
cw_1,24,"個人が住む場所を決めたり、職業を選んだり、自分の財産を利用したりする自由をまとめて何というか。","経済活動の自由"
cw_1,25,"人権は最大限保障されるが、他人の人権と衝突する場合などに、社会全体の利益のために人権が制限される原理を何というか。","公共の福祉"
cw_1,26,"日本国憲法第25条の「すべて国民は、健康で文化的な最低限度の生活を営む権利を有する」という条文で保障されている権利は何か。","生存権"
cw_1,27,"国や年金を運営している組織に保険料を支払い、受け取る資格を満たした場合に支給されるお金のしくみを何というか。","年金"
cw_1,28,"すべての国民が能力に応じてひとしく教育を受けることができる社会権の一つを何というか。","教育を受ける権利"
cw_1,29,"社会権の一つで、働く意思と能力のある人が、国に対して労働の機会を求めることができる権利を何というか。","勤労の権利"
cw_1,30,"労働三権とも呼ばれる、労働者の権利を守るために定められている権利の総称を何というか。","労働基本権"
cw_1,31,"労働基本権の1つで、労働者が団結して行動できるように労働組合をつくる権利を何というか。","団結権"
cw_1,32,"国民が政治に参加する権利を総称して何というか。","参政権"
cw_1,33,"同じ親の細胞などからつくられた個体を何というか。","クローン"
cw_1,34,"卵子と精子を体内でなく体外で受精させることを何というか。","体外受精"
cw_1,35,"HIV（ヒト免疫不全ウイルス）への感染によって、体の免疫力が低下する病気を何というか。","エイズ（後天性免疫不全症候群）"
cw_1,36,"自分の意思で自分の技術や時間を提供して、社会的な人助けをする人やその行為を何というか。","ボランティア"
cw_1,37,"社会集団のなかでさまざまな意見が出て対立や争いが発生したときに、それを調整するために話し合いをしたり、ルールを決めたりして解決していくことを何というか。","政治"
cw_1,38,"国民の意思にしたがって政治を行うという考え方を何というか。","民主主義"
cw_1,39,"全員で直接話し合って政治的な決定を行う仕組みを何というか。","直接民主制"
cw_1,40,"選挙で選ばれた代表者が話し合って政治を決定する仕組みを何というか。","間接民主制（代議制）"
cw_1,41,"話し合っても意見が一致しない場合に、数が多いほうの意見にしたがうという民主主義の基本原理を何というか。","多数決の原理"
cw_1,42,"多数決の原理において、決定する前に少数の意見も十分に聞き入れるべきであるという考え方を何というか。","少数意見の尊重"
cw_1,43,"国政について話し合うための代表者を選ぶ、18歳以上のすべての国民に認められている権利は何か。","選挙権"
cw_1,44,"選挙に立候補して、国会議員や地方公共団体の長、地方議会議員になることができる権利は何か。","被選挙権"
cw_1,45,"最高裁判所の裁判官が適任かどうかを、衆議院議員総選挙の際に国民が投票で審査する権利は何か。","国民審査権"
cw_1,46,"国や地方公共団体に対して、政治上の要望を平穏に行うことができる権利は何か。","請願権"
cw_1,47,"国会が憲法改正の発議を行った際に、国民がそれに対して賛成か反対かの意思を示す権利は何か。","国民投票権"
cw_1,48,"人権が侵害されたときに、国などに救済を求めることができる権利の総称は何か。","請求権"
cw_1,49,"公務員の不法行為などによって損害を受けた場合に、国や地方公共団体に賠償を求めることができる権利は何か。","国家賠償請求権"
cw_1,50,"刑事裁判で無罪が確定した場合などに、国に対して金銭による補償を求めることができる権利は何か。","刑事補償請求権"
cw_1,51,"国や地方公共団体が持っている情報の公開を求めることができる権利は何か。","知る権利"
cw_1,52,"私的な生活を他人に勝手に公開されない権利や、自分の情報をコントロールする権利を何というか。","プライバシーの権利"
cw_1,53,"個人のプライバシーを守るため、企業や行政機関などに個人情報の適切な取り扱いを義務付けた法律は何か。","個人情報保護法"
cw_1,54,"自分の顔や姿を無断で撮影されたり、公表されたり、商品に利用されたりしない権利は何か。","肖像権"
cw_1,55,"職場において、地位の優位性を背景に、業務の適正な範囲を超えて精神的・身体的苦痛を与える行為を何というか。","パワーハラスメント（パワハラ）"
cw_1,56,"思想や感情を創作的に表現した文芸、学術、美術、音楽などの作品の作者に与えられる権利を何というか。","著作権"
cw_1,57,"個人が自分の生き方や生活について、他から干渉されずに自由に決定する権利は何か。","自己決定権"
cw_1,58,"「生命、自由及び幸福追求に対する国民の権利」として、日本国憲法第13条で保障されており、新しい人権の根拠ともなる権利は何か。","幸福追求権"
cw_1,59,"生活する上で、きれいで快適な環境を求める権利を何というか。","環境権"
cw_1,60,"大規模な開発を行う前に、それが周囲の環境にどのような影響を及ぼすかを事前に調査・評価し、対策を立てる制度を何というか。","環境アセスメント（環境影響評価）"
cw_1,61,"1948年に国連総会で採択された、すべての人類が生まれながらにして持つ基本的人権と自由の保障を世界に向けて示した宣言を何というか。","世界人権宣言"
cw_1,62,"世界人権宣言の内容を条約化し、批准した国に法的な拘束力を持たせた国際条約を何というか。","国際人権規約"
cw_1,63,"不当に逮捕・拘禁されている人々の釈放や死刑の廃止などを訴え、1977年にノーベル平和賞を受賞した国際的な人権団体（NGO）は何か。","アムネスティ・インターナショナル"
cw_1,64,"生き物の親から子に遺伝子がどのように受けつがれているかを調べることで、遺伝によって起こる病気などを解明することを何というか。","遺伝子診断"
cw_1,65,"ある生物の細胞に別の生物の遺伝子を組み込む技術によって、新しい性質を持たせて作られた作物を何というか。","遺伝子組み換え食品"
cw_1,66,"同じ親の細胞などからつくられた個体を何というか。","クローン"
cw_1,67,"卵子と精子を体内でなく体外で受精させることを何というか。","体外受精"
cw_1,68,"HIV（ヒト免疫不全ウイルス）への感染によって、体の免疫力が低下する病気を何というか。","エイズ（後天性免疫不全症候群）"
cw_1,69,"自分の意思で自分の技術や時間を提供して、社会的な人助けをする人やその行為を何というか。","ボランティア"
cw_1,70,"社会集団のなかでさまざまな意見が出て対立や争いが発生したときに、それを調整するために話し合いをしたり、ルールを決めたりして解決していくことを何というか。","政治"
cw_1,71,"国民の意思にしたがって政治を行うという考え方を何というか。","民主主義"
cw_1,72,"全員で直接話し合って政治的な決定を行う仕組みを何というか。","直接民主制"
cw_1,73,"選挙で選ばれた代表者が話し合って政治を決定する仕組みを何というか。","間接民主制（代議制）"
cw_1,74,"話し合っても意見が一致しない場合に、数が多いほうの意見にしたがうという民主主義の基本原理を何というか。","多数決の原理"
cw_1,75,"多数決の原理において、決定する前に少数の意見も十分に聞き入れるべきであるという考え方を何というか。","少数意見の尊重"
cw_1,76,"国政について話し合うための代表者を選ぶ、18歳以上のすべての国民に認められている権利は何か。","選挙権"
cw_1,77,"選挙に立候補して、国会議員や地方公共団体の長、地方議会議員になることができる権利は何か。","被選挙権"
cw_1,78,"最高裁判所の裁判官が適任かどうかを、衆議院議員総選挙の際に国民が投票で審査する権利は何か。","国民審査権"
cw_1,79,"国や地方公共団体に対して、政治上の要望を平穏に行うことができる権利は何か。","請願権"
cw_1,80,"国会が憲法改正の発議を行った際に、国民がそれに対して賛成か反対かの意思を示す権利は何か。","国民投票権"
cw_1,81,"人権が侵害されたときに、国などに救済を求めることができる権利の総称は何か。","請求権"
cw_1,82,"公務員の不法行為などによって損害を受けた場合に、国や地方公共団体に賠償を求めることができる権利は何か。","国家賠償請求権"
cw_1,83,"刑事裁判で無罪が確定した場合などに、国に対して金銭による補償を求めることができる権利は何か。","刑事補償請求権"
cw_1,84,"国や地方公共団体が持っている情報の公開を求めることができる権利は何か。","知る権利"
cw_1,85,"私的な生活を他人に勝手に公開されない権利や、自分の情報をコントロールする権利を何というか。","プライバシーの権利"
cw_1,86,"個人のプライバシーを守るため、企業や行政機関などに個人情報の適切な取り扱いを義務付けた法律は何か。","個人情報保護法"
cw_1,87,"自分の顔や姿を無断で撮影されたり、公表されたり、商品に利用されたりしない権利は何か。","肖像権"
cw_1,88,"職場において、地位の優位性を背景に、業務の適正な範囲を超えて精神的・身体的苦痛を与える行為を何というか。","パワーハラスメント（パワハラ）"
cw_1,89,"思想や感情を創作的に表現した文芸、学術、美術、音楽などの作品の作者に与えられる権利を何というか。","著作権"
cw_1,90,"個人が自分の生き方や生活について、他から干渉されずに自由に決定する権利は何か。","自己決定権"
cw_1,91,"「生命、自由及び幸福追求に対する国民の権利」として、日本国憲法第13条で保障されており、新しい人権の根拠ともなる権利は何か。","幸福追求権"
cw_1,92,"生活する上で、きれいで快適な環境を求める権利を何というか。","環境権"
cw_1,93,"大規模な開発を行う前に、それが周囲の環境にどのような影響を及ぼすかを事前に調査・評価し、対策を立てる制度を何というか。","環境アセスメント（環境影響評価）"
cw_1,94,"1948年に国連総会で採択された、すべての人類が生まれながらにして持つ基本的人権と自由の保障を世界に向けて示した宣言を何というか。","世界人権宣言"
cw_1,95,"世界人権宣言の内容を条約化し、批准した国に法的な拘束力を持たせた国際条約を何というか。","国際人権規約"
cw_1,96,"不当に逮捕・拘禁されている人々の釈放や死刑の廃止などを訴え、1977年にノーベル平和賞を受賞した国際的な人権団体（NGO）は何か。","アムネスティ・インターナショナル"
cw_1,97,"生き物の親から子に遺伝子がどのように受けつがれているかを調べることで、遺伝によって起こる病気などを解明することを何というか。","遺伝子診断"
cw_1,98,"ある生物の細胞に別の生物の遺伝子を組み込む技術によって、新しい性質を持たせて作られた作物を何というか。","遺伝子組み換え食品"
